Model;Runs;Avg Train Time (s);Std Train Time (s);Avg Infer Latency (ms);Std Infer Latency (ms);Avg Peak RAM - RSS delta (MB);Std Peak RAM - RSS delta (MB);MAE;RMSE;R2 Score
XGBoost;30;0,023;0,0;0,45;0,02;0,29;1,55;7,584;21,823;0,7962
LightGBM;30;0,059;0,004;0,69;0,05;0,14;0,73;7,0513;18,6336;0,8515
CatBoost;30;0,385;0,011;0,71;0,28;1,51;3,56;5,5038;16,5208;0,8832
