Model;Runs;Avg Train Time (s);Std Train Time (s);Avg Infer Latency (ms);Std Infer Latency (ms);Peak RAM - RSS delta (MB);Total RAM Allocated (MB);MAE;RMSE;R2 Score
XGBoost;30;0,024;0,0;0,45;0,02;8,47;9,0;7,584;21,823;0,7962
LightGBM;30;0,059;0,005;0,69;0,05;3,71;3,79;7,0513;18,6336;0,8515
CatBoost;30;0,384;0,012;0,66;0,21;20,52;53,59;5,5038;16,5208;0,8832
